Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Sekretariats- und Büroarbeit,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,VD,abt-total,55,1,54,16,0,16,39,1,38
Sekretariats- und Büroarbeit,VD,EFZ,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,VD,EBA,55,1,54,16,0,16,39,1,38
Sekretariats- und Büroarbeit,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,VS,abt-total,5,0,5,2,0,2,3,0,3
Sekretariats- und Büroarbeit,VS,EFZ,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,VS,EBA,5,0,5,2,0,2,3,0,3
Sekretariats- und Büroarbeit,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,NE,abt-total,2,0,2,0,0,0,2,0,2
Sekretariats- und Büroarbeit,NE,EFZ,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,NE,EBA,2,0,2,0,0,0,2,0,2
Sekretariats- und Büroarbeit,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,GE,abt-total,13,0,13,4,0,4,9,0,9
Sekretariats- und Büroarbeit,GE,EFZ,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,GE,EBA,13,0,13,4,0,4,9,0,9
Sekretariats- und Büroarbeit,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,JU,abt-total,2,0,2,1,0,1,1,0,1
Sekretariats- und Büroarbeit,JU,EFZ,0,0,0,0,0,0,0,0,0
Sekretariats- und Büroarbeit,JU,EBA,2,0,2,1,0,1,1,0,1
Sekretariats- und Büroarbeit,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,,abt-total,12825,1704,11121,4976,951,4025,7849,753,7096
Wirtschaft und Verwaltung,,EFZ,12825,1704,11121,4976,951,4025,7849,753,7096
Wirtschaft und Verwaltung,,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,ZH,abt-total,2185,0,2185,864,0,864,1321,0,1321
Wirtschaft und Verwaltung,ZH,EFZ,2185,0,2185,864,0,864,1321,0,1321
Wirtschaft und Verwaltung,ZH,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,BE,abt-total,1461,43,1418,524,12,512,937,31,906
Wirtschaft und Verwaltung,BE,EFZ,1461,43,1418,524,12,512,937,31,906
Wirtschaft und Verwaltung,BE,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,LU,abt-total,513,0,513,150,0,150,363,0,363
Wirtschaft und Verwaltung,LU,EFZ,513,0,513,150,0,150,363,0,363
Wirtschaft und Verwaltung,LU,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,UR,abt-total,49,0,49,9,0,9,40,0,40
Wirtschaft und Verwaltung,UR,EFZ,49,0,49,9,0,9,40,0,40
Wirtschaft und Verwaltung,UR,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SZ,abt-total,146,0,146,49,0,49,97,0,97
Wirtschaft und Verwaltung,SZ,EFZ,146,0,146,49,0,49,97,0,97
Wirtschaft und Verwaltung,SZ,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,OW,abt-total,45,0,45,11,0,11,34,0,34
Wirtschaft und Verwaltung,OW,EFZ,45,0,45,11,0,11,34,0,34
Wirtschaft und Verwaltung,OW,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,NW,abt-total,46,0,46,12,0,12,34,0,34
Wirtschaft und Verwaltung,NW,EFZ,46,0,46,12,0,12,34,0,34
Wirtschaft und Verwaltung,NW,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GL,abt-total,78,0,78,24,0,24,54,0,54
Wirtschaft und Verwaltung,GL,EFZ,78,0,78,24,0,24,54,0,54
Wirtschaft und Verwaltung,GL,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,ZG,abt-total,199,0,199,74,0,74,125,0,125
Wirtschaft und Verwaltung,ZG,EFZ,199,0,199,74,0,74,125,0,125
Wirtschaft und Verwaltung,ZG,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,FR,abt-total,414,0,414,133,0,133,281,0,281
Wirtschaft und Verwaltung,FR,EFZ,414,0,414,133,0,133,281,0,281
Wirtschaft und Verwaltung,FR,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SO,abt-total,322,0,322,113,0,113,209,0,209
Wirtschaft und Verwaltung,SO,EFZ,322,0,322,113,0,113,209,0,209
Wirtschaft und Verwaltung,SO,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,BS,abt-total,384,0,384,174,0,174,210,0,210
Wirtschaft und Verwaltung,BS,EFZ,384,0,384,174,0,174,210,0,210
Wirtschaft und Verwaltung,BS,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,BL,abt-total,261,0,261,101,0,101,160,0,160
Wirtschaft und Verwaltung,BL,EFZ,261,0,261,101,0,101,160,0,160
Wirtschaft und Verwaltung,BL,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SH,abt-total,144,0,144,58,0,58,86,0,86
Wirtschaft und Verwaltung,SH,EFZ,144,0,144,58,0,58,86,0,86
Wirtschaft und Verwaltung,SH,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AR,abt-total,65,0,65,22,0,22,43,0,43
Wirtschaft und Verwaltung,AR,EFZ,65,0,65,22,0,22,43,0,43
Wirtschaft und Verwaltung,AR,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AI,abt-total,22,0,22,8,0,8,14,0,14
Wirtschaft und Verwaltung,AI,EFZ,22,0,22,8,0,8,14,0,14
Wirtschaft und Verwaltung,AI,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SG,abt-total,810,0,810,260,0,260,550,0,550
Wirtschaft und Verwaltung,SG,EFZ,810,0,810,260,0,260,550,0,550
Wirtschaft und Verwaltung,SG,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GR,abt-total,281,0,281,85,0,85,196,0,196
Wirtschaft und Verwaltung,GR,EFZ,281,0,281,85,0,85,196,0,196
Wirtschaft und Verwaltung,GR,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AG,abt-total,885,0,885,330,0,330,555,0,555
Wirtschaft und Verwaltung,AG,EFZ,885,0,885,330,0,330,555,0,555
Wirtschaft und Verwaltung,AG,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,TG,abt-total,292,0,292,106,0,106,186,0,186
Wirtschaft und Verwaltung,TG,EFZ,292,0,292,106,0,106,186,0,186
Wirtschaft und Verwaltung,TG,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,TI,abt-total,704,399,305,312,206,106,392,193,199
Wirtschaft und Verwaltung,TI,EFZ,704,399,305,312,206,106,392,193,199
Wirtschaft und Verwaltung,TI,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,VD,abt-total,1321,251,1070,557,151,406,764,100,664
Wirtschaft und Verwaltung,VD,EFZ,1321,251,1070,557,151,406,764,100,664
Wirtschaft und Verwaltung,VD,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,VS,abt-total,347,0,347,101,0,101,246,0,246
Wirtschaft und Verwaltung,VS,EFZ,347,0,347,101,0,101,246,0,246
Wirtschaft und Verwaltung,VS,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,NE,abt-total,373,181,192,130,79,51,243,102,141
Wirtschaft und Verwaltung,NE,EFZ,373,181,192,130,79,51,243,102,141
Wirtschaft und Verwaltung,NE,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GE,abt-total,1292,828,464,686,503,183,606,325,281
Wirtschaft und Verwaltung,GE,EFZ,1292,828,464,686,503,183,606,325,281
Wirtschaft und Verwaltung,GE,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,JU,abt-total,186,2,184,83,0,83,103,2,101
Wirtschaft und Verwaltung,JU,EFZ,186,2,184,83,0,83,103,2,101
Wirtschaft und Verwaltung,JU,EBA,0,0,0,0,0,0,0,0,0
Wirtschaft und Verwaltung,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,,abt-total,1833,469,1364,1675,422,1253,158,47,111
Informatik,,EFZ,1737,457,1280,1590,412,1178,147,45,102
Informatik,,EBA,96,12,84,85,10,75,11,2,9
Informatik,,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,ZH,abt-total,401,5,396,365,5,360,36,0,36
Informatik,ZH,EFZ,377,5,372,345,5,340,32,0,32
Informatik,ZH,EBA,24,0,24,20,0,20,4,0,4
Informatik,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,BE,abt-total,286,41,245,258,38,220,28,3,25
Informatik,BE,EFZ,257,29,228,232,28,204,25,1,24
Informatik,BE,EBA,29,12,17,26,10,16,3,2,1
Informatik,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,LU,abt-total,72,0,72,63,0,63,9,0,9
Informatik,LU,EFZ,61,0,61,55,0,55,6,0,6
Informatik,LU,EBA,11,0,11,8,0,8,3,0,3
Informatik,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,UR,abt-total,3,0,3,3,0,3,0,0,0
Informatik,UR,EFZ,3,0,3,3,0,3,0,0,0
Informatik,UR,EBA,0,0,0,0,0,0,0,0,0
Informatik,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,SZ,abt-total,9,0,9,9,0,9,0,0,0
Informatik,SZ,EFZ,8,0,8,8,0,8,0,0,0
Informatik,SZ,EBA,1,0,1,1,0,1,0,0,0
Informatik,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,OW,abt-total,4,0,4,4,0,4,0,0,0
Informatik,OW,EFZ,3,0,3,3,0,3,0,0,0
Informatik,OW,EBA,1,0,1,1,0,1,0,0,0
Informatik,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,NW,abt-total,3,0,3,3,0,3,0,0,0
Informatik,NW,EFZ,3,0,3,3,0,3,0,0,0
Informatik,NW,EBA,0,0,0,0,0,0,0,0,0
Informatik,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,GL,abt-total,5,0,5,5,0,5,0,0,0
Informatik,GL,EFZ,5,0,5,5,0,5,0,0,0
Informatik,GL,EBA,0,0,0,0,0,0,0,0,0
Informatik,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,ZG,abt-total,60,0,60,58,0,58,2,0,2
Informatik,ZG,EFZ,59,0,59,57,0,57,2,0,2
Informatik,ZG,EBA,1,0,1,1,0,1,0,0,0
Informatik,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,FR,abt-total,61,38,23,60,38,22,1,0,1
Informatik,FR,EFZ,60,38,22,59,38,21,1,0,1
Informatik,FR,EBA,1,0,1,1,0,1,0,0,0
Informatik,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,SO,abt-total,46,13,33,46,13,33,0,0,0
Informatik,SO,EFZ,45,13,32,45,13,32,0,0,0
Informatik,SO,EBA,1,0,1,1,0,1,0,0,0
Informatik,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,BS,abt-total,51,0,51,50,0,50,1,0,1
Informatik,BS,EFZ,49,0,49,48,0,48,1,0,1
Informatik,BS,EBA,2,0,2,2,0,2,0,0,0
Informatik,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,BL,abt-total,33,0,33,31,0,31,2,0,2
Informatik,BL,EFZ,32,0,32,30,0,30,2,0,2
Informatik,BL,EBA,1,0,1,1,0,1,0,0,0
Informatik,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,SH,abt-total,13,0,13,13,0,13,0,0,0
Informatik,SH,EFZ,13,0,13,13,0,13,0,0,0
Informatik,SH,EBA,0,0,0,0,0,0,0,0,0
Informatik,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,AR,abt-total,3,0,3,1,0,1,2,0,2
Informatik,AR,EFZ,3,0,3,1,0,1,2,0,2
Informatik,AR,EBA,0,0,0,0,0,0,0,0,0
Informatik,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,AI,abt-total,1,0,1,1,0,1,0,0,0
Informatik,AI,EFZ,1,0,1,1,0,1,0,0,0
Informatik,AI,EBA,0,0,0,0,0,0,0,0,0
Informatik,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,SG,abt-total,89,0,89,82,0,82,7,0,7
Informatik,SG,EFZ,88,0,88,81,0,81,7,0,7
Informatik,SG,EBA,1,0,1,1,0,1,0,0,0
Informatik,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,GR,abt-total,28,4,24,24,4,20,4,0,4
Informatik,GR,EFZ,28,4,24,24,4,20,4,0,4
Informatik,GR,EBA,0,0,0,0,0,0,0,0,0
Informatik,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,AG,abt-total,90,0,90,85,0,85,5,0,5
Informatik,AG,EFZ,88,0,88,83,0,83,5,0,5
Informatik,AG,EBA,2,0,2,2,0,2,0,0,0
Informatik,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,TG,abt-total,27,0,27,25,0,25,2,0,2
Informatik,TG,EFZ,26,0,26,24,0,24,2,0,2
Informatik,TG,EBA,1,0,1,1,0,1,0,0,0
Informatik,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,TI,abt-total,55,24,31,51,21,30,4,3,1
Informatik,TI,EFZ,52,24,28,48,21,27,4,3,1
Informatik,TI,EBA,3,0,3,3,0,3,0,0,0
Informatik,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,VD,abt-total,179,102,77,158,90,68,21,12,9
Informatik,VD,EFZ,167,102,65,147,90,57,20,12,8
Informatik,VD,EBA,12,0,12,11,0,11,1,0,1
Informatik,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,VS,abt-total,63,38,25,60,37,23,3,1,2
Informatik,VS,EFZ,60,38,22,57,37,20,3,1,2
Informatik,VS,EBA,3,0,3,3,0,3,0,0,0
Informatik,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,NE,abt-total,121,104,17,111,95,16,10,9,1
Informatik,NE,EFZ,121,104,17,111,95,16,10,9,1
Informatik,NE,EBA,0,0,0,0,0,0,0,0,0
Informatik,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,GE,abt-total,98,74,24,87,64,23,11,10,1
Informatik,GE,EFZ,96,74,22,85,64,21,11,10,1
Informatik,GE,EBA,2,0,2,2,0,2,0,0,0
Informatik,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,JU,abt-total,32,26,6,22,17,5,10,9,1
Informatik,JU,EFZ,32,26,6,22,17,5,10,9,1
Informatik,JU,EBA,0,0,0,0,0,0,0,0,0
Informatik,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,,abt-total,4719,577,4142,4342,494,3848,377,83,294
Maschinenbau und Metallverarbeitung,,EFZ,4311,516,3795,3992,436,3556,319,80,239
Maschinenbau und Metallverarbeitung,,EBA,408,61,347,350,58,292,58,3,55
Maschinenbau und Metallverarbeitung,,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,ZH,abt-total,605,19,586,576,19,557,29,0,29
Maschinenbau und Metallverarbeitung,ZH,EFZ,565,18,547,536,18,518,29,0,29
Maschinenbau und Metallverarbeitung,ZH,EBA,40,1,39,40,1,39,0,0,0
Maschinenbau und Metallverarbeitung,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,BE,abt-total,739,161,578,698,147,551,41,14,27
Maschinenbau und Metallverarbeitung,BE,EFZ,644,102,542,610,91,519,34,11,23
Maschinenbau und Metallverarbeitung,BE,EBA,95,59,36,88,56,32,7,3,4
Maschinenbau und Metallverarbeitung,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,LU,abt-total,210,0,210,197,0,197,13,0,13
Maschinenbau und Metallverarbeitung,LU,EFZ,193,0,193,181,0,181,12,0,12
Maschinenbau und Metallverarbeitung,LU,EBA,17,0,17,16,0,16,1,0,1
Maschinenbau und Metallverarbeitung,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,UR,abt-total,40,0,40,36,0,36,4,0,4
Maschinenbau und Metallverarbeitung,UR,EFZ,39,0,39,35,0,35,4,0,4
Maschinenbau und Metallverarbeitung,UR,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau und Metallverarbeitung,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,SZ,abt-total,69,0,69,63,0,63,6,0,6
Maschinenbau und Metallverarbeitung,SZ,EFZ,67,0,67,62,0,62,5,0,5
Maschinenbau und Metallverarbeitung,SZ,EBA,2,0,2,1,0,1,1,0,1
Maschinenbau und Metallverarbeitung,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,OW,abt-total,28,0,28,26,0,26,2,0,2
Maschinenbau und Metallverarbeitung,OW,EFZ,28,0,28,26,0,26,2,0,2
Maschinenbau und Metallverarbeitung,OW,EBA,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,NW,abt-total,37,0,37,35,0,35,2,0,2
Maschinenbau und Metallverarbeitung,NW,EFZ,37,0,37,35,0,35,2,0,2
Maschinenbau und Metallverarbeitung,NW,EBA,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,GL,abt-total,32,0,32,31,0,31,1,0,1
Maschinenbau und Metallverarbeitung,GL,EFZ,31,0,31,30,0,30,1,0,1
Maschinenbau und Metallverarbeitung,GL,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau und Metallverarbeitung,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,ZG,abt-total,48,0,48,47,0,47,1,0,1
Maschinenbau und Metallverarbeitung,ZG,EFZ,47,0,47,46,0,46,1,0,1
Maschinenbau und Metallverarbeitung,ZG,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau und Metallverarbeitung,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,FR,abt-total,133,14,119,127,14,113,6,0,6
Maschinenbau und Metallverarbeitung,FR,EFZ,131,14,117,125,14,111,6,0,6
Maschinenbau und Metallverarbeitung,FR,EBA,2,0,2,2,0,2,0,0,0
Maschinenbau und Metallverarbeitung,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,SO,abt-total,242,14,228,221,12,209,21,2,19
Maschinenbau und Metallverarbeitung,SO,EFZ,221,14,207,204,12,192,17,2,15
Maschinenbau und Metallverarbeitung,SO,EBA,21,0,21,17,0,17,4,0,4
Maschinenbau und Metallverarbeitung,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,BS,abt-total,62,26,36,60,24,36,2,2,0
Maschinenbau und Metallverarbeitung,BS,EFZ,56,25,31,54,23,31,2,2,0
Maschinenbau und Metallverarbeitung,BS,EBA,6,1,5,6,1,5,0,0,0
Maschinenbau und Metallverarbeitung,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,BL,abt-total,134,0,134,124,0,124,10,0,10
Maschinenbau und Metallverarbeitung,BL,EFZ,123,0,123,114,0,114,9,0,9
Maschinenbau und Metallverarbeitung,BL,EBA,11,0,11,10,0,10,1,0,1
Maschinenbau und Metallverarbeitung,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,SH,abt-total,59,0,59,53,0,53,6,0,6
Maschinenbau und Metallverarbeitung,SH,EFZ,56,0,56,50,0,50,6,0,6
Maschinenbau und Metallverarbeitung,SH,EBA,3,0,3,3,0,3,0,0,0
Maschinenbau und Metallverarbeitung,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,AR,abt-total,26,0,26,25,0,25,1,0,1
Maschinenbau und Metallverarbeitung,AR,EFZ,23,0,23,22,0,22,1,0,1
Maschinenbau und Metallverarbeitung,AR,EBA,3,0,3,3,0,3,0,0,0
Maschinenbau und Metallverarbeitung,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,AI,abt-total,14,0,14,13,0,13,1,0,1
Maschinenbau und Metallverarbeitung,AI,EFZ,13,0,13,12,0,12,1,0,1
Maschinenbau und Metallverarbeitung,AI,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau und Metallverarbeitung,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,SG,abt-total,510,0,510,476,0,476,34,0,34
Maschinenbau und Metallverarbeitung,SG,EFZ,465,0,465,437,0,437,28,0,28
Maschinenbau und Metallverarbeitung,SG,EBA,45,0,45,39,0,39,6,0,6
Maschinenbau und Metallverarbeitung,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,GR,abt-total,85,0,85,83,0,83,2,0,2
Maschinenbau und Metallverarbeitung,GR,EFZ,84,0,84,82,0,82,2,0,2
Maschinenbau und Metallverarbeitung,GR,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau und Metallverarbeitung,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,AG,abt-total,340,0,340,323,0,323,17,0,17
Maschinenbau und Metallverarbeitung,AG,EFZ,323,0,323,307,0,307,16,0,16
Maschinenbau und Metallverarbeitung,AG,EBA,17,0,17,16,0,16,1,0,1
Maschinenbau und Metallverarbeitung,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,TG,abt-total,155,0,155,147,0,147,8,0,8
Maschinenbau und Metallverarbeitung,TG,EFZ,142,0,142,135,0,135,7,0,7
Maschinenbau und Metallverarbeitung,TG,EBA,13,0,13,12,0,12,1,0,1
Maschinenbau und Metallverarbeitung,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,TI,abt-total,117,34,83,115,33,82,2,1,1
Maschinenbau und Metallverarbeitung,TI,EFZ,108,34,74,107,33,74,1,1,0
Maschinenbau und Metallverarbeitung,TI,EBA,9,0,9,8,0,8,1,0,1
Maschinenbau und Metallverarbeitung,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,VD,abt-total,330,94,236,286,72,214,44,22,22
Maschinenbau und Metallverarbeitung,VD,EFZ,300,94,206,264,72,192,36,22,14
Maschinenbau und Metallverarbeitung,VD,EBA,30,0,30,22,0,22,8,0,8
Maschinenbau und Metallverarbeitung,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,VS,abt-total,132,0,132,130,0,130,2,0,2
Maschinenbau und Metallverarbeitung,VS,EFZ,125,0,125,123,0,123,2,0,2
Maschinenbau und Metallverarbeitung,VS,EBA,7,0,7,7,0,7,0,0,0
Maschinenbau und Metallverarbeitung,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,NE,abt-total,308,84,224,229,69,160,79,15,64
Maschinenbau und Metallverarbeitung,NE,EFZ,243,84,159,190,69,121,53,15,38
Maschinenbau und Metallverarbeitung,NE,EBA,65,0,65,39,0,39,26,0,26
Maschinenbau und Metallverarbeitung,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,GE,abt-total,154,94,60,129,78,51,25,16,9
Maschinenbau und Metallverarbeitung,GE,EFZ,148,94,54,123,78,45,25,16,9
Maschinenbau und Metallverarbeitung,GE,EBA,6,0,6,6,0,6,0,0,0
Maschinenbau und Metallverarbeitung,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau und Metallverarbeitung,JU,abt-total,110,37,73,92,26,66,18,11,7
Maschinenbau und Metallverarbeitung,JU,EFZ,99,37,62,82,26,56,17,11,6
Maschinenbau und Metallverarbeitung,JU,EBA,11,0,11,10,0,10,1,0,1
Maschinenbau und Metallverarbeitung,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Elektrizität und Energie,,abt-total,4086,5,4081,4007,4,4003,79,1,78
Elektrizität und Energie,,EFZ,3853,0,3853,3775,0,3775,78,0,78
Elektrizität und Energie,,EBA,233,5,228,232,4,228,1,1,0
Elektrizität und Energie,,nReglementiert,0,0,0,0,0,0,0,0,0
Elektrizität und Energie,ZH,abt-total,712,0,712,707,0,707,5,0,5
Elektrizität und Energie,ZH,EFZ,680,0,680,675,0,675,5,0,5
Elektrizität und Energie,ZH,EBA,32,0,32,32,0,32,0,0,0
Elektrizität und Energie,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
