FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Informatik,Informatik,ZH,EBA,29,0,29,28,0,28,1,0,1
Informatik,Informatik,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,BE,abt-total,342,59,283,305,49,256,37,10,27
Informatik,Informatik,BE,EFZ,298,36,262,271,33,238,27,3,24
Informatik,Informatik,BE,EBA,44,23,21,34,16,18,10,7,3
Informatik,Informatik,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,LU,abt-total,75,0,75,68,0,68,7,0,7
Informatik,Informatik,LU,EFZ,66,0,66,61,0,61,5,0,5
Informatik,Informatik,LU,EBA,9,0,9,7,0,7,2,0,2
Informatik,Informatik,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,UR,abt-total,1,0,1,1,0,1,0,0,0
Informatik,Informatik,UR,EFZ,1,0,1,1,0,1,0,0,0
Informatik,Informatik,UR,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,SZ,abt-total,8,0,8,8,0,8,0,0,0
Informatik,Informatik,SZ,EFZ,7,0,7,7,0,7,0,0,0
Informatik,Informatik,SZ,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,OW,abt-total,5,0,5,5,0,5,0,0,0
Informatik,Informatik,OW,EFZ,4,0,4,4,0,4,0,0,0
Informatik,Informatik,OW,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,NW,abt-total,4,0,4,4,0,4,0,0,0
Informatik,Informatik,NW,EFZ,4,0,4,4,0,4,0,0,0
Informatik,Informatik,NW,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,GL,abt-total,2,0,2,2,0,2,0,0,0
Informatik,Informatik,GL,EFZ,2,0,2,2,0,2,0,0,0
Informatik,Informatik,GL,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,ZG,abt-total,74,0,74,67,0,67,7,0,7
Informatik,Informatik,ZG,EFZ,73,0,73,67,0,67,6,0,6
Informatik,Informatik,ZG,EBA,1,0,1,0,0,0,1,0,1
Informatik,Informatik,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,FR,abt-total,63,40,23,57,36,21,6,4,2
Informatik,Informatik,FR,EFZ,63,40,23,57,36,21,6,4,2
Informatik,Informatik,FR,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,SO,abt-total,48,11,37,44,9,35,4,2,2
Informatik,Informatik,SO,EFZ,47,11,36,43,9,34,4,2,2
Informatik,Informatik,SO,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,BS,abt-total,50,0,50,48,0,48,2,0,2
Informatik,Informatik,BS,EFZ,47,0,47,45,0,45,2,0,2
Informatik,Informatik,BS,EBA,3,0,3,3,0,3,0,0,0
Informatik,Informatik,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,BL,abt-total,39,0,39,32,0,32,7,0,7
Informatik,Informatik,BL,EFZ,36,0,36,29,0,29,7,0,7
Informatik,Informatik,BL,EBA,3,0,3,3,0,3,0,0,0
Informatik,Informatik,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,SH,abt-total,14,0,14,14,0,14,0,0,0
Informatik,Informatik,SH,EFZ,13,0,13,13,0,13,0,0,0
Informatik,Informatik,SH,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,AR,abt-total,9,0,9,9,0,9,0,0,0
Informatik,Informatik,AR,EFZ,9,0,9,9,0,9,0,0,0
Informatik,Informatik,AR,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,AI,abt-total,1,0,1,1,0,1,0,0,0
Informatik,Informatik,AI,EFZ,1,0,1,1,0,1,0,0,0
Informatik,Informatik,AI,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,SG,abt-total,88,0,88,83,0,83,5,0,5
Informatik,Informatik,SG,EFZ,87,0,87,82,0,82,5,0,5
Informatik,Informatik,SG,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,GR,abt-total,26,3,23,26,3,23,0,0,0
Informatik,Informatik,GR,EFZ,26,3,23,26,3,23,0,0,0
Informatik,Informatik,GR,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,AG,abt-total,147,54,93,140,51,89,7,3,4
Informatik,Informatik,AG,EFZ,144,54,90,137,51,86,7,3,4
Informatik,Informatik,AG,EBA,3,0,3,3,0,3,0,0,0
Informatik,Informatik,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,TG,abt-total,54,26,28,51,24,27,3,2,1
Informatik,Informatik,TG,EFZ,54,26,28,51,24,27,3,2,1
Informatik,Informatik,TG,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,TI,abt-total,63,37,26,63,37,26,0,0,0
Informatik,Informatik,TI,EFZ,63,37,26,63,37,26,0,0,0
Informatik,Informatik,TI,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,VD,abt-total,194,96,98,182,91,91,12,5,7
Informatik,Informatik,VD,EFZ,188,96,92,176,91,85,12,5,7
Informatik,Informatik,VD,EBA,6,0,6,6,0,6,0,0,0
Informatik,Informatik,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,VS,abt-total,63,37,26,59,36,23,4,1,3
Informatik,Informatik,VS,EFZ,61,37,24,57,36,21,4,1,3
Informatik,Informatik,VS,EBA,2,0,2,2,0,2,0,0,0
Informatik,Informatik,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,NE,abt-total,101,86,15,92,78,14,9,8,1
Informatik,Informatik,NE,EFZ,100,86,14,91,78,13,9,8,1
Informatik,Informatik,NE,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,GE,abt-total,82,60,22,76,54,22,6,6,0
Informatik,Informatik,GE,EFZ,81,60,21,75,54,21,6,6,0
Informatik,Informatik,GE,EBA,1,0,1,1,0,1,0,0,0
Informatik,Informatik,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Informatik,Informatik,JU,abt-total,30,23,7,30,23,7,0,0,0
Informatik,Informatik,JU,EFZ,30,23,7,30,23,7,0,0,0
Informatik,Informatik,JU,EBA,0,0,0,0,0,0,0,0,0
Informatik,Informatik,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,,abt-total,4783,599,4184,4368,516,3852,415,83,332
Maschinenbau,Maschinenbau und Metallverarbeitung,,EFZ,4200,520,3680,3870,447,3423,330,73,257
Maschinenbau,Maschinenbau und Metallverarbeitung,,EBA,583,79,504,498,69,429,85,10,75
Maschinenbau,Maschinenbau und Metallverarbeitung,,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,ZH,abt-total,603,19,584,568,18,550,35,1,34
Maschinenbau,Maschinenbau und Metallverarbeitung,ZH,EFZ,547,19,528,514,18,496,33,1,32
Maschinenbau,Maschinenbau und Metallverarbeitung,ZH,EBA,56,0,56,54,0,54,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,BE,abt-total,753,184,569,701,161,540,52,23,29
Maschinenbau,Maschinenbau und Metallverarbeitung,BE,EFZ,634,113,521,594,99,495,40,14,26
Maschinenbau,Maschinenbau und Metallverarbeitung,BE,EBA,119,71,48,107,62,45,12,9,3
Maschinenbau,Maschinenbau und Metallverarbeitung,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,LU,abt-total,222,0,222,210,0,210,12,0,12
Maschinenbau,Maschinenbau und Metallverarbeitung,LU,EFZ,200,0,200,191,0,191,9,0,9
Maschinenbau,Maschinenbau und Metallverarbeitung,LU,EBA,22,0,22,19,0,19,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,UR,abt-total,32,0,32,31,0,31,1,0,1
Maschinenbau,Maschinenbau und Metallverarbeitung,UR,EFZ,31,0,31,30,0,30,1,0,1
Maschinenbau,Maschinenbau und Metallverarbeitung,UR,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SZ,abt-total,65,0,65,63,0,63,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,SZ,EFZ,62,0,62,60,0,60,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,SZ,EBA,3,0,3,3,0,3,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,OW,abt-total,32,0,32,29,0,29,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,OW,EFZ,31,0,31,28,0,28,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,OW,EBA,1,0,1,1,0,1,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,NW,abt-total,39,0,39,35,0,35,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,NW,EFZ,37,0,37,33,0,33,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,NW,EBA,2,0,2,2,0,2,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GL,abt-total,40,0,40,40,0,40,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GL,EFZ,34,0,34,34,0,34,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GL,EBA,6,0,6,6,0,6,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,ZG,abt-total,54,0,54,51,0,51,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,ZG,EFZ,52,0,52,49,0,49,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,ZG,EBA,2,0,2,2,0,2,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,FR,abt-total,139,12,127,134,12,122,5,0,5
Maschinenbau,Maschinenbau und Metallverarbeitung,FR,EFZ,136,12,124,131,12,119,5,0,5
Maschinenbau,Maschinenbau und Metallverarbeitung,FR,EBA,3,0,3,3,0,3,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SO,abt-total,218,13,205,199,11,188,19,2,17
Maschinenbau,Maschinenbau und Metallverarbeitung,SO,EFZ,202,13,189,188,11,177,14,2,12
Maschinenbau,Maschinenbau und Metallverarbeitung,SO,EBA,16,0,16,11,0,11,5,0,5
Maschinenbau,Maschinenbau und Metallverarbeitung,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,BS,abt-total,71,26,45,65,25,40,6,1,5
Maschinenbau,Maschinenbau und Metallverarbeitung,BS,EFZ,66,26,40,60,25,35,6,1,5
Maschinenbau,Maschinenbau und Metallverarbeitung,BS,EBA,5,0,5,5,0,5,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,BL,abt-total,121,0,121,111,0,111,10,0,10
Maschinenbau,Maschinenbau und Metallverarbeitung,BL,EFZ,104,0,104,95,0,95,9,0,9
Maschinenbau,Maschinenbau und Metallverarbeitung,BL,EBA,17,0,17,16,0,16,1,0,1
Maschinenbau,Maschinenbau und Metallverarbeitung,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SH,abt-total,74,0,74,66,0,66,8,0,8
Maschinenbau,Maschinenbau und Metallverarbeitung,SH,EFZ,65,0,65,57,0,57,8,0,8
Maschinenbau,Maschinenbau und Metallverarbeitung,SH,EBA,9,0,9,9,0,9,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,AR,abt-total,28,0,28,24,0,24,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,AR,EFZ,26,0,26,22,0,22,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,AR,EBA,2,0,2,2,0,2,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,AI,abt-total,12,0,12,9,0,9,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,AI,EFZ,12,0,12,9,0,9,3,0,3
Maschinenbau,Maschinenbau und Metallverarbeitung,AI,EBA,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,SG,abt-total,470,0,470,442,0,442,28,0,28
Maschinenbau,Maschinenbau und Metallverarbeitung,SG,EFZ,424,0,424,397,0,397,27,0,27
Maschinenbau,Maschinenbau und Metallverarbeitung,SG,EBA,46,0,46,45,0,45,1,0,1
Maschinenbau,Maschinenbau und Metallverarbeitung,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GR,abt-total,79,0,79,77,0,77,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,GR,EFZ,72,0,72,70,0,70,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,GR,EBA,7,0,7,7,0,7,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,AG,abt-total,357,0,357,331,0,331,26,0,26
Maschinenbau,Maschinenbau und Metallverarbeitung,AG,EFZ,327,0,327,303,0,303,24,0,24
Maschinenbau,Maschinenbau und Metallverarbeitung,AG,EBA,30,0,30,28,0,28,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,TG,abt-total,141,0,141,137,0,137,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,TG,EFZ,128,0,128,124,0,124,4,0,4
Maschinenbau,Maschinenbau und Metallverarbeitung,TG,EBA,13,0,13,13,0,13,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,TI,abt-total,111,25,86,109,25,84,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,TI,EFZ,104,25,79,102,25,77,2,0,2
Maschinenbau,Maschinenbau und Metallverarbeitung,TI,EBA,7,0,7,7,0,7,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,VD,abt-total,295,97,198,266,86,180,29,11,18
Maschinenbau,Maschinenbau und Metallverarbeitung,VD,EFZ,259,97,162,236,86,150,23,11,12
Maschinenbau,Maschinenbau und Metallverarbeitung,VD,EBA,36,0,36,30,0,30,6,0,6
Maschinenbau,Maschinenbau und Metallverarbeitung,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,VS,abt-total,146,5,141,138,4,134,8,1,7
Maschinenbau,Maschinenbau und Metallverarbeitung,VS,EFZ,130,5,125,123,4,119,7,1,6
Maschinenbau,Maschinenbau und Metallverarbeitung,VS,EBA,16,0,16,15,0,15,1,0,1
Maschinenbau,Maschinenbau und Metallverarbeitung,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,NE,abt-total,322,83,239,227,65,162,95,18,77
Maschinenbau,Maschinenbau und Metallverarbeitung,NE,EFZ,240,83,157,186,65,121,54,18,36
Maschinenbau,Maschinenbau und Metallverarbeitung,NE,EBA,82,0,82,41,0,41,41,0,41
Maschinenbau,Maschinenbau und Metallverarbeitung,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,GE,abt-total,199,77,122,170,65,105,29,12,17
Maschinenbau,Maschinenbau und Metallverarbeitung,GE,EFZ,153,77,76,129,65,64,24,12,12
Maschinenbau,Maschinenbau und Metallverarbeitung,GE,EBA,46,0,46,41,0,41,5,0,5
Maschinenbau,Maschinenbau und Metallverarbeitung,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Maschinenbau,Maschinenbau und Metallverarbeitung,JU,abt-total,160,58,102,135,44,91,25,14,11
Maschinenbau,Maschinenbau und Metallverarbeitung,JU,EFZ,124,50,74,105,37,68,19,13,6
Maschinenbau,Maschinenbau und Metallverarbeitung,JU,EBA,36,8,28,30,7,23,6,1,5
Maschinenbau,Maschinenbau und Metallverarbeitung,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,,abt-total,4400,5,4395,4312,5,4307,88,0,88
Energie,Elektrizität und Energie,,EFZ,4140,0,4140,4054,0,4054,86,0,86
Energie,Elektrizität und Energie,,EBA,260,5,255,258,5,253,2,0,2
Energie,Elektrizität und Energie,,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,ZH,abt-total,767,0,767,755,0,755,12,0,12
Energie,Elektrizität und Energie,ZH,EFZ,725,0,725,714,0,714,11,0,11
Energie,Elektrizität und Energie,ZH,EBA,42,0,42,41,0,41,1,0,1
Energie,Elektrizität und Energie,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,BE,abt-total,509,5,504,489,5,484,20,0,20
Energie,Elektrizität und Energie,BE,EFZ,480,0,480,460,0,460,20,0,20
Energie,Elektrizität und Energie,BE,EBA,29,5,24,29,5,24,0,0,0
Energie,Elektrizität und Energie,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,LU,abt-total,257,0,257,249,0,249,8,0,8
Energie,Elektrizität und Energie,LU,EFZ,233,0,233,226,0,226,7,0,7
Energie,Elektrizität und Energie,LU,EBA,24,0,24,23,0,23,1,0,1
Energie,Elektrizität und Energie,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,UR,abt-total,34,0,34,33,0,33,1,0,1
Energie,Elektrizität und Energie,UR,EFZ,34,0,34,33,0,33,1,0,1
Energie,Elektrizität und Energie,UR,EBA,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,SZ,abt-total,79,0,79,77,0,77,2,0,2
Energie,Elektrizität und Energie,SZ,EFZ,76,0,76,74,0,74,2,0,2
Energie,Elektrizität und Energie,SZ,EBA,3,0,3,3,0,3,0,0,0
Energie,Elektrizität und Energie,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,OW,abt-total,20,0,20,19,0,19,1,0,1
Energie,Elektrizität und Energie,OW,EFZ,20,0,20,19,0,19,1,0,1
Energie,Elektrizität und Energie,OW,EBA,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,NW,abt-total,27,0,27,27,0,27,0,0,0
Energie,Elektrizität und Energie,NW,EFZ,27,0,27,27,0,27,0,0,0
Energie,Elektrizität und Energie,NW,EBA,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,GL,abt-total,23,0,23,23,0,23,0,0,0
Energie,Elektrizität und Energie,GL,EFZ,20,0,20,20,0,20,0,0,0
Energie,Elektrizität und Energie,GL,EBA,3,0,3,3,0,3,0,0,0
Energie,Elektrizität und Energie,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,ZG,abt-total,82,0,82,81,0,81,1,0,1
Energie,Elektrizität und Energie,ZG,EFZ,77,0,77,76,0,76,1,0,1
Energie,Elektrizität und Energie,ZG,EBA,5,0,5,5,0,5,0,0,0
Energie,Elektrizität und Energie,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,FR,abt-total,152,0,152,150,0,150,2,0,2
Energie,Elektrizität und Energie,FR,EFZ,143,0,143,141,0,141,2,0,2
Energie,Elektrizität und Energie,FR,EBA,9,0,9,9,0,9,0,0,0
Energie,Elektrizität und Energie,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,SO,abt-total,116,0,116,114,0,114,2,0,2
Energie,Elektrizität und Energie,SO,EFZ,106,0,106,104,0,104,2,0,2
Energie,Elektrizität und Energie,SO,EBA,10,0,10,10,0,10,0,0,0
Energie,Elektrizität und Energie,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,BS,abt-total,158,0,158,155,0,155,3,0,3
Energie,Elektrizität und Energie,BS,EFZ,151,0,151,148,0,148,3,0,3
Energie,Elektrizität und Energie,BS,EBA,7,0,7,7,0,7,0,0,0
Energie,Elektrizität und Energie,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,BL,abt-total,119,0,119,116,0,116,3,0,3
Energie,Elektrizität und Energie,BL,EFZ,107,0,107,104,0,104,3,0,3
Energie,Elektrizität und Energie,BL,EBA,12,0,12,12,0,12,0,0,0
Energie,Elektrizität und Energie,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,SH,abt-total,46,0,46,44,0,44,2,0,2
Energie,Elektrizität und Energie,SH,EFZ,42,0,42,40,0,40,2,0,2
Energie,Elektrizität und Energie,SH,EBA,4,0,4,4,0,4,0,0,0
Energie,Elektrizität und Energie,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,AR,abt-total,23,0,23,23,0,23,0,0,0
Energie,Elektrizität und Energie,AR,EFZ,22,0,22,22,0,22,0,0,0
Energie,Elektrizität und Energie,AR,EBA,1,0,1,1,0,1,0,0,0
Energie,Elektrizität und Energie,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,AI,abt-total,9,0,9,9,0,9,0,0,0
Energie,Elektrizität und Energie,AI,EFZ,9,0,9,9,0,9,0,0,0
Energie,Elektrizität und Energie,AI,EBA,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,SG,abt-total,303,0,303,299,0,299,4,0,4
Energie,Elektrizität und Energie,SG,EFZ,286,0,286,282,0,282,4,0,4
Energie,Elektrizität und Energie,SG,EBA,17,0,17,17,0,17,0,0,0
Energie,Elektrizität und Energie,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,GR,abt-total,163,0,163,154,0,154,9,0,9
Energie,Elektrizität und Energie,GR,EFZ,151,0,151,142,0,142,9,0,9
Energie,Elektrizität und Energie,GR,EBA,12,0,12,12,0,12,0,0,0
Energie,Elektrizität und Energie,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,AG,abt-total,341,0,341,332,0,332,9,0,9
Energie,Elektrizität und Energie,AG,EFZ,313,0,313,304,0,304,9,0,9
Energie,Elektrizität und Energie,AG,EBA,28,0,28,28,0,28,0,0,0
Energie,Elektrizität und Energie,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,TG,abt-total,138,0,138,136,0,136,2,0,2
Energie,Elektrizität und Energie,TG,EFZ,133,0,133,131,0,131,2,0,2
Energie,Elektrizität und Energie,TG,EBA,5,0,5,5,0,5,0,0,0
Energie,Elektrizität und Energie,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,TI,abt-total,204,0,204,202,0,202,2,0,2
Energie,Elektrizität und Energie,TI,EFZ,198,0,198,196,0,196,2,0,2
Energie,Elektrizität und Energie,TI,EBA,6,0,6,6,0,6,0,0,0
Energie,Elektrizität und Energie,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,VD,abt-total,309,0,309,307,0,307,2,0,2
Energie,Elektrizität und Energie,VD,EFZ,289,0,289,287,0,287,2,0,2
Energie,Elektrizität und Energie,VD,EBA,20,0,20,20,0,20,0,0,0
Energie,Elektrizität und Energie,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,VS,abt-total,213,0,213,213,0,213,0,0,0
Energie,Elektrizität und Energie,VS,EFZ,200,0,200,200,0,200,0,0,0
Energie,Elektrizität und Energie,VS,EBA,13,0,13,13,0,13,0,0,0
Energie,Elektrizität und Energie,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,NE,abt-total,79,0,79,78,0,78,1,0,1
Energie,Elektrizität und Energie,NE,EFZ,78,0,78,77,0,77,1,0,1
Energie,Elektrizität und Energie,NE,EBA,1,0,1,1,0,1,0,0,0
Energie,Elektrizität und Energie,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,GE,abt-total,187,0,187,187,0,187,0,0,0
Energie,Elektrizität und Energie,GE,EFZ,182,0,182,182,0,182,0,0,0
Energie,Elektrizität und Energie,GE,EBA,5,0,5,5,0,5,0,0,0
Energie,Elektrizität und Energie,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Energie,Elektrizität und Energie,JU,abt-total,42,0,42,40,0,40,2,0,2
Energie,Elektrizität und Energie,JU,EFZ,38,0,38,36,0,36,2,0,2
Energie,Elektrizität und Energie,JU,EBA,4,0,4,4,0,4,0,0,0
Energie,Elektrizität und Energie,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik,Elektronik und Automation,,abt-total,1800,534,1266,1707,502,1205,93,32,61
