Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Musik und darstellende Kunst,TG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,abt-total,1473,403,1070,780,206,574,693,197,496
Audiovisuelle Techniken und Medienproduktion,,EFZ,1473,403,1070,780,206,574,693,197,496
Audiovisuelle Techniken und Medienproduktion,,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,abt-total,174,0,174,75,0,75,99,0,99
Audiovisuelle Techniken und Medienproduktion,ZH,EFZ,174,0,174,75,0,75,99,0,99
Audiovisuelle Techniken und Medienproduktion,ZH,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,abt-total,169,4,165,94,1,93,75,3,72
Audiovisuelle Techniken und Medienproduktion,BE,EFZ,169,4,165,94,1,93,75,3,72
Audiovisuelle Techniken und Medienproduktion,BE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,abt-total,74,16,58,41,6,35,33,10,23
Audiovisuelle Techniken und Medienproduktion,LU,EFZ,74,16,58,41,6,35,33,10,23
Audiovisuelle Techniken und Medienproduktion,LU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,abt-total,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EFZ,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,abt-total,15,0,15,11,0,11,4,0,4
Audiovisuelle Techniken und Medienproduktion,SZ,EFZ,15,0,15,11,0,11,4,0,4
Audiovisuelle Techniken und Medienproduktion,SZ,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,abt-total,13,0,13,9,0,9,4,0,4
Audiovisuelle Techniken und Medienproduktion,OW,EFZ,13,0,13,9,0,9,4,0,4
Audiovisuelle Techniken und Medienproduktion,OW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,abt-total,8,0,8,4,0,4,4,0,4
Audiovisuelle Techniken und Medienproduktion,NW,EFZ,8,0,8,4,0,4,4,0,4
Audiovisuelle Techniken und Medienproduktion,NW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,abt-total,4,0,4,2,0,2,2,0,2
Audiovisuelle Techniken und Medienproduktion,GL,EFZ,4,0,4,2,0,2,2,0,2
Audiovisuelle Techniken und Medienproduktion,GL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,abt-total,25,0,25,16,0,16,9,0,9
Audiovisuelle Techniken und Medienproduktion,ZG,EFZ,25,0,25,16,0,16,9,0,9
Audiovisuelle Techniken und Medienproduktion,ZG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,abt-total,65,31,34,42,20,22,23,11,12
Audiovisuelle Techniken und Medienproduktion,FR,EFZ,65,31,34,42,20,22,23,11,12
Audiovisuelle Techniken und Medienproduktion,FR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,abt-total,22,0,22,10,0,10,12,0,12
Audiovisuelle Techniken und Medienproduktion,SO,EFZ,22,0,22,10,0,10,12,0,12
Audiovisuelle Techniken und Medienproduktion,SO,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,abt-total,23,0,23,8,0,8,15,0,15
Audiovisuelle Techniken und Medienproduktion,BS,EFZ,23,0,23,8,0,8,15,0,15
Audiovisuelle Techniken und Medienproduktion,BS,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BL,abt-total,17,0,17,10,0,10,7,0,7
Audiovisuelle Techniken und Medienproduktion,BL,EFZ,17,0,17,10,0,10,7,0,7
Audiovisuelle Techniken und Medienproduktion,BL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,abt-total,18,0,18,12,0,12,6,0,6
Audiovisuelle Techniken und Medienproduktion,SH,EFZ,18,0,18,12,0,12,6,0,6
Audiovisuelle Techniken und Medienproduktion,SH,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,abt-total,7,0,7,4,0,4,3,0,3
Audiovisuelle Techniken und Medienproduktion,AR,EFZ,7,0,7,4,0,4,3,0,3
Audiovisuelle Techniken und Medienproduktion,AR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,abt-total,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,EFZ,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,abt-total,114,13,101,60,3,57,54,10,44
Audiovisuelle Techniken und Medienproduktion,SG,EFZ,114,13,101,60,3,57,54,10,44
Audiovisuelle Techniken und Medienproduktion,SG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,abt-total,31,0,31,13,0,13,18,0,18
Audiovisuelle Techniken und Medienproduktion,GR,EFZ,31,0,31,13,0,13,18,0,18
Audiovisuelle Techniken und Medienproduktion,GR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,abt-total,82,0,82,37,0,37,45,0,45
Audiovisuelle Techniken und Medienproduktion,AG,EFZ,82,0,82,37,0,37,45,0,45
Audiovisuelle Techniken und Medienproduktion,AG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,abt-total,53,0,53,31,0,31,22,0,22
Audiovisuelle Techniken und Medienproduktion,TG,EFZ,53,0,53,31,0,31,22,0,22
Audiovisuelle Techniken und Medienproduktion,TG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,abt-total,52,19,33,27,7,20,25,12,13
Audiovisuelle Techniken und Medienproduktion,TI,EFZ,52,19,33,27,7,20,25,12,13
Audiovisuelle Techniken und Medienproduktion,TI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,abt-total,271,155,116,156,91,65,115,64,51
Audiovisuelle Techniken und Medienproduktion,VD,EFZ,271,155,116,156,91,65,115,64,51
Audiovisuelle Techniken und Medienproduktion,VD,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,abt-total,72,34,38,43,16,27,29,18,11
Audiovisuelle Techniken und Medienproduktion,VS,EFZ,72,34,38,43,16,27,29,18,11
Audiovisuelle Techniken und Medienproduktion,VS,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,abt-total,62,54,8,34,31,3,28,23,5
Audiovisuelle Techniken und Medienproduktion,NE,EFZ,62,54,8,34,31,3,28,23,5
Audiovisuelle Techniken und Medienproduktion,NE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,abt-total,94,77,17,38,31,7,56,46,10
Audiovisuelle Techniken und Medienproduktion,GE,EFZ,94,77,17,38,31,7,56,46,10
Audiovisuelle Techniken und Medienproduktion,GE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,abt-total,2,0,2,0,0,0,2,0,2
Audiovisuelle Techniken und Medienproduktion,JU,EFZ,2,0,2,0,0,0,2,0,2
Audiovisuelle Techniken und Medienproduktion,JU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,,abt-total,402,53,349,123,11,112,279,42,237
Design,,EFZ,402,53,349,123,11,112,279,42,237
Design,,EBA,0,0,0,0,0,0,0,0,0
Design,,nReglementiert,0,0,0,0,0,0,0,0,0
Design,ZH,abt-total,54,0,54,14,0,14,40,0,40
Design,ZH,EFZ,54,0,54,14,0,14,40,0,40
Design,ZH,EBA,0,0,0,0,0,0,0,0,0
Design,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Design,BE,abt-total,37,0,37,8,0,8,29,0,29
Design,BE,EFZ,37,0,37,8,0,8,29,0,29
Design,BE,EBA,0,0,0,0,0,0,0,0,0
Design,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Design,LU,abt-total,13,0,13,2,0,2,11,0,11
Design,LU,EFZ,13,0,13,2,0,2,11,0,11
Design,LU,EBA,0,0,0,0,0,0,0,0,0
Design,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,UR,abt-total,0,0,0,0,0,0,0,0,0
Design,UR,EFZ,0,0,0,0,0,0,0,0,0
Design,UR,EBA,0,0,0,0,0,0,0,0,0
Design,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Design,SZ,abt-total,5,0,5,3,0,3,2,0,2
Design,SZ,EFZ,5,0,5,3,0,3,2,0,2
Design,SZ,EBA,0,0,0,0,0,0,0,0,0
Design,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Design,OW,abt-total,2,0,2,0,0,0,2,0,2
Design,OW,EFZ,2,0,2,0,0,0,2,0,2
Design,OW,EBA,0,0,0,0,0,0,0,0,0
Design,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,NW,abt-total,1,0,1,0,0,0,1,0,1
Design,NW,EFZ,1,0,1,0,0,0,1,0,1
Design,NW,EBA,0,0,0,0,0,0,0,0,0
Design,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,GL,abt-total,0,0,0,0,0,0,0,0,0
Design,GL,EFZ,0,0,0,0,0,0,0,0,0
Design,GL,EBA,0,0,0,0,0,0,0,0,0
