Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BL,abt-total,2031,0,2031,1258,0,1258,773,0,773
Total,BL,EFZ,1751,0,1751,1105,0,1105,646,0,646
Total,BL,EBA,280,0,280,153,0,153,127,0,127
Total,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SH,abt-total,901,47,854,502,25,477,399,22,377
Total,SH,EFZ,818,47,771,455,25,430,363,22,341
Total,SH,EBA,83,0,83,47,0,47,36,0,36
Total,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AR,abt-total,517,11,506,285,7,278,232,4,228
Total,AR,EFZ,460,11,449,248,7,241,212,4,208
Total,AR,EBA,57,0,57,37,0,37,20,0,20
Total,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AI,abt-total,167,0,167,105,0,105,62,0,62
Total,AI,EFZ,159,0,159,101,0,101,58,0,58
Total,AI,EBA,8,0,8,4,0,4,4,0,4
Total,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SG,abt-total,5648,125,5523,3165,67,3098,2483,58,2425
Total,SG,EFZ,5119,125,4994,2868,67,2801,2251,58,2193
Total,SG,EBA,529,0,529,297,0,297,232,0,232
Total,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GR,abt-total,2021,14,2007,1147,10,1137,874,4,870
Total,GR,EFZ,1860,13,1847,1053,9,1044,807,4,803
Total,GR,EBA,161,1,160,94,1,93,67,0,67
Total,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AG,abt-total,5705,0,5705,3303,0,3303,2402,0,2402
Total,AG,EFZ,5125,0,5125,2987,0,2987,2138,0,2138
Total,AG,EBA,580,0,580,316,0,316,264,0,264
Total,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,TG,abt-total,2462,80,2382,1492,50,1442,970,30,940
Total,TG,EFZ,2209,80,2129,1339,50,1289,870,30,840
Total,TG,EBA,253,0,253,153,0,153,100,0,100
Total,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,TI,abt-total,4385,2062,2323,2520,922,1598,1865,1140,725
Total,TI,EFZ,4166,2062,2104,2391,922,1469,1775,1140,635
Total,TI,EBA,219,0,219,129,0,129,90,0,90
Total,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,VD,abt-total,6362,1177,5185,3639,643,2996,2723,534,2189
Total,VD,EFZ,5961,1177,4784,3388,643,2745,2573,534,2039
Total,VD,EBA,401,0,401,251,0,251,150,0,150
Total,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Total,VS,abt-total,3021,333,2688,1837,125,1712,1184,208,976
Total,VS,EFZ,2738,283,2455,1679,119,1560,1059,164,895
Total,VS,EBA,243,11,232,151,0,151,92,11,81
Total,VS,nReglementiert,40,39,1,7,6,1,33,33,0
Total,NE,abt-total,2172,597,1575,1279,364,915,893,233,660
Total,NE,EFZ,2031,597,1434,1205,364,841,826,233,593
Total,NE,EBA,139,0,139,74,0,74,65,0,65
Total,NE,nReglementiert,2,0,2,0,0,0,2,0,2
Total,GE,abt-total,3926,1629,2297,2471,1029,1442,1455,600,855
Total,GE,EFZ,3673,1603,2070,2316,1014,1302,1357,589,768
Total,GE,EBA,253,26,227,155,15,140,98,11,87
Total,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,JU,abt-total,943,246,697,575,123,452,368,123,245
Total,JU,EFZ,878,238,640,537,122,415,341,116,225
Total,JU,EBA,65,8,57,38,1,37,27,7,20
Total,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,abt-total,51,32,19,14,7,7,37,25,12
Musik und darstellende Kunst,,EFZ,51,32,19,14,7,7,37,25,12
Musik und darstellende Kunst,,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,abt-total,16,0,16,7,0,7,9,0,9
Musik und darstellende Kunst,ZH,EFZ,16,0,16,7,0,7,9,0,9
Musik und darstellende Kunst,ZH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,abt-total,17,14,3,4,4,0,13,10,3
Musik und darstellende Kunst,BS,EFZ,17,14,3,4,4,0,13,10,3
Musik und darstellende Kunst,BS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,abt-total,18,18,0,3,3,0,15,15,0
Musik und darstellende Kunst,GE,EFZ,18,18,0,3,3,0,15,15,0
Musik und darstellende Kunst,GE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,abt-total,1283,375,908,684,184,500,599,191,408
Audiovisuelle Techniken und Medienproduktion,,EFZ,1259,375,884,666,184,482,593,191,402
Audiovisuelle Techniken und Medienproduktion,,EBA,24,0,24,18,0,18,6,0,6
Audiovisuelle Techniken und Medienproduktion,,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,abt-total,174,0,174,91,0,91,83,0,83
Audiovisuelle Techniken und Medienproduktion,ZH,EFZ,173,0,173,90,0,90,83,0,83
Audiovisuelle Techniken und Medienproduktion,ZH,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,abt-total,177,18,159,100,5,95,77,13,64
Audiovisuelle Techniken und Medienproduktion,BE,EFZ,173,18,155,98,5,93,75,13,62
Audiovisuelle Techniken und Medienproduktion,BE,EBA,4,0,4,2,0,2,2,0,2
Audiovisuelle Techniken und Medienproduktion,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,abt-total,80,15,65,44,7,37,36,8,28
Audiovisuelle Techniken und Medienproduktion,LU,EFZ,77,15,62,42,7,35,35,8,27
Audiovisuelle Techniken und Medienproduktion,LU,EBA,3,0,3,2,0,2,1,0,1
Audiovisuelle Techniken und Medienproduktion,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,abt-total,4,0,4,1,0,1,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EFZ,4,0,4,1,0,1,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,abt-total,11,0,11,6,0,6,5,0,5
Audiovisuelle Techniken und Medienproduktion,SZ,EFZ,10,0,10,5,0,5,5,0,5
Audiovisuelle Techniken und Medienproduktion,SZ,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,abt-total,5,0,5,4,0,4,1,0,1
Audiovisuelle Techniken und Medienproduktion,OW,EFZ,4,0,4,4,0,4,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,EBA,1,0,1,0,0,0,1,0,1
Audiovisuelle Techniken und Medienproduktion,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,abt-total,6,0,6,4,0,4,2,0,2
Audiovisuelle Techniken und Medienproduktion,NW,EFZ,6,0,6,4,0,4,2,0,2
Audiovisuelle Techniken und Medienproduktion,NW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,abt-total,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EFZ,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,abt-total,23,0,23,10,0,10,13,0,13
Audiovisuelle Techniken und Medienproduktion,ZG,EFZ,23,0,23,10,0,10,13,0,13
Audiovisuelle Techniken und Medienproduktion,ZG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,abt-total,72,38,34,41,22,19,31,16,15
Audiovisuelle Techniken und Medienproduktion,FR,EFZ,72,38,34,41,22,19,31,16,15
Audiovisuelle Techniken und Medienproduktion,FR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,abt-total,23,0,23,14,0,14,9,0,9
Audiovisuelle Techniken und Medienproduktion,SO,EFZ,22,0,22,13,0,13,9,0,9
Audiovisuelle Techniken und Medienproduktion,SO,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,abt-total,10,0,10,5,0,5,5,0,5
Audiovisuelle Techniken und Medienproduktion,BS,EFZ,9,0,9,4,0,4,5,0,5
Audiovisuelle Techniken und Medienproduktion,BS,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BL,abt-total,15,0,15,11,0,11,4,0,4
Audiovisuelle Techniken und Medienproduktion,BL,EFZ,14,0,14,10,0,10,4,0,4
Audiovisuelle Techniken und Medienproduktion,BL,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,abt-total,15,0,15,7,0,7,8,0,8
Audiovisuelle Techniken und Medienproduktion,SH,EFZ,13,0,13,6,0,6,7,0,7
Audiovisuelle Techniken und Medienproduktion,SH,EBA,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,abt-total,4,0,4,3,0,3,1,0,1
Audiovisuelle Techniken und Medienproduktion,AR,EFZ,4,0,4,3,0,3,1,0,1
Audiovisuelle Techniken und Medienproduktion,AR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,abt-total,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,EFZ,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,abt-total,80,13,67,31,5,26,49,8,41
Audiovisuelle Techniken und Medienproduktion,SG,EFZ,77,13,64,29,5,24,48,8,40
Audiovisuelle Techniken und Medienproduktion,SG,EBA,3,0,3,2,0,2,1,0,1
Audiovisuelle Techniken und Medienproduktion,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,abt-total,19,0,19,9,0,9,10,0,10
Audiovisuelle Techniken und Medienproduktion,GR,EFZ,19,0,19,9,0,9,10,0,10
Audiovisuelle Techniken und Medienproduktion,GR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,abt-total,67,0,67,40,0,40,27,0,27
Audiovisuelle Techniken und Medienproduktion,AG,EFZ,64,0,64,37,0,37,27,0,27
Audiovisuelle Techniken und Medienproduktion,AG,EBA,3,0,3,3,0,3,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,abt-total,55,0,55,33,0,33,22,0,22
Audiovisuelle Techniken und Medienproduktion,TG,EFZ,54,0,54,32,0,32,22,0,22
Audiovisuelle Techniken und Medienproduktion,TG,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,abt-total,48,22,26,27,11,16,21,11,10
Audiovisuelle Techniken und Medienproduktion,TI,EFZ,48,22,26,27,11,16,21,11,10
Audiovisuelle Techniken und Medienproduktion,TI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,abt-total,222,167,55,123,97,26,99,70,29
Audiovisuelle Techniken und Medienproduktion,VD,EFZ,221,167,54,122,97,25,99,70,29
Audiovisuelle Techniken und Medienproduktion,VD,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,abt-total,73,35,38,40,14,26,33,21,12
Audiovisuelle Techniken und Medienproduktion,VS,EFZ,72,35,37,39,14,25,33,21,12
Audiovisuelle Techniken und Medienproduktion,VS,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,abt-total,41,30,11,19,15,4,22,15,7
Audiovisuelle Techniken und Medienproduktion,NE,EFZ,41,30,11,19,15,4,22,15,7
Audiovisuelle Techniken und Medienproduktion,NE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,abt-total,52,37,15,18,8,10,34,29,5
Audiovisuelle Techniken und Medienproduktion,GE,EFZ,52,37,15,18,8,10,34,29,5
Audiovisuelle Techniken und Medienproduktion,GE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,abt-total,4,0,4,1,0,1,3,0,3
Audiovisuelle Techniken und Medienproduktion,JU,EFZ,4,0,4,1,0,1,3,0,3
Audiovisuelle Techniken und Medienproduktion,JU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,,abt-total,395,65,330,109,15,94,286,50,236
Design,,EFZ,395,65,330,109,15,94,286,50,236
Design,,EBA,0,0,0,0,0,0,0,0,0
Design,,nReglementiert,0,0,0,0,0,0,0,0,0
Design,ZH,abt-total,61,0,61,11,0,11,50,0,50
Design,ZH,EFZ,61,0,61,11,0,11,50,0,50
Design,ZH,EBA,0,0,0,0,0,0,0,0,0
Design,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Design,BE,abt-total,51,0,51,16,0,16,35,0,35
Design,BE,EFZ,51,0,51,16,0,16,35,0,35
Design,BE,EBA,0,0,0,0,0,0,0,0,0
Design,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Design,LU,abt-total,18,0,18,5,0,5,13,0,13
Design,LU,EFZ,18,0,18,5,0,5,13,0,13
Design,LU,EBA,0,0,0,0,0,0,0,0,0
Design,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,UR,abt-total,2,0,2,0,0,0,2,0,2
Design,UR,EFZ,2,0,2,0,0,0,2,0,2
Design,UR,EBA,0,0,0,0,0,0,0,0,0
Design,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Design,SZ,abt-total,7,0,7,4,0,4,3,0,3
Design,SZ,EFZ,7,0,7,4,0,4,3,0,3
Design,SZ,EBA,0,0,0,0,0,0,0,0,0
Design,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Design,OW,abt-total,1,0,1,0,0,0,1,0,1
Design,OW,EFZ,1,0,1,0,0,0,1,0,1
Design,OW,EBA,0,0,0,0,0,0,0,0,0
Design,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,NW,abt-total,3,0,3,1,0,1,2,0,2
Design,NW,EFZ,3,0,3,1,0,1,2,0,2
Design,NW,EBA,0,0,0,0,0,0,0,0,0
Design,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,GL,abt-total,2,0,2,0,0,0,2,0,2
Design,GL,EFZ,2,0,2,0,0,0,2,0,2
Design,GL,EBA,0,0,0,0,0,0,0,0,0
