Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Musik und darstellende Kunst,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,abt-total,17,17,0,3,3,0,14,14,0
Musik und darstellende Kunst,GE,EFZ,17,17,0,3,3,0,14,14,0
Musik und darstellende Kunst,GE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,,abt-total,1474,378,1096,741,167,574,733,211,522
Audiovisuelle Techniken und Medienproduktion,,EFZ,1436,378,1058,723,167,556,713,211,502
Audiovisuelle Techniken und Medienproduktion,,EBA,38,0,38,18,0,18,20,0,20
Audiovisuelle Techniken und Medienproduktion,,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZH,abt-total,193,0,193,99,0,99,94,0,94
Audiovisuelle Techniken und Medienproduktion,ZH,EFZ,189,0,189,97,0,97,92,0,92
Audiovisuelle Techniken und Medienproduktion,ZH,EBA,4,0,4,2,0,2,2,0,2
Audiovisuelle Techniken und Medienproduktion,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BE,abt-total,180,18,162,108,9,99,72,9,63
Audiovisuelle Techniken und Medienproduktion,BE,EFZ,177,18,159,106,9,97,71,9,62
Audiovisuelle Techniken und Medienproduktion,BE,EBA,3,0,3,2,0,2,1,0,1
Audiovisuelle Techniken und Medienproduktion,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,LU,abt-total,101,26,75,50,13,37,51,13,38
Audiovisuelle Techniken und Medienproduktion,LU,EFZ,94,26,68,46,13,33,48,13,35
Audiovisuelle Techniken und Medienproduktion,LU,EBA,7,0,7,4,0,4,3,0,3
Audiovisuelle Techniken und Medienproduktion,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,abt-total,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EFZ,5,0,5,2,0,2,3,0,3
Audiovisuelle Techniken und Medienproduktion,UR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,abt-total,16,0,16,5,0,5,11,0,11
Audiovisuelle Techniken und Medienproduktion,SZ,EFZ,16,0,16,5,0,5,11,0,11
Audiovisuelle Techniken und Medienproduktion,SZ,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,abt-total,7,0,7,4,0,4,3,0,3
Audiovisuelle Techniken und Medienproduktion,OW,EFZ,7,0,7,4,0,4,3,0,3
Audiovisuelle Techniken und Medienproduktion,OW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,abt-total,10,0,10,5,0,5,5,0,5
Audiovisuelle Techniken und Medienproduktion,NW,EFZ,10,0,10,5,0,5,5,0,5
Audiovisuelle Techniken und Medienproduktion,NW,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,abt-total,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EFZ,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,GL,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,abt-total,22,0,22,9,0,9,13,0,13
Audiovisuelle Techniken und Medienproduktion,ZG,EFZ,22,0,22,9,0,9,13,0,13
Audiovisuelle Techniken und Medienproduktion,ZG,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,abt-total,57,33,24,27,13,14,30,20,10
Audiovisuelle Techniken und Medienproduktion,FR,EFZ,57,33,24,27,13,14,30,20,10
Audiovisuelle Techniken und Medienproduktion,FR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,abt-total,23,0,23,8,0,8,15,0,15
Audiovisuelle Techniken und Medienproduktion,SO,EFZ,23,0,23,8,0,8,15,0,15
Audiovisuelle Techniken und Medienproduktion,SO,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BS,abt-total,22,0,22,9,0,9,13,0,13
Audiovisuelle Techniken und Medienproduktion,BS,EFZ,20,0,20,9,0,9,11,0,11
Audiovisuelle Techniken und Medienproduktion,BS,EBA,2,0,2,0,0,0,2,0,2
Audiovisuelle Techniken und Medienproduktion,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,BL,abt-total,20,0,20,12,0,12,8,0,8
Audiovisuelle Techniken und Medienproduktion,BL,EFZ,19,0,19,12,0,12,7,0,7
Audiovisuelle Techniken und Medienproduktion,BL,EBA,1,0,1,0,0,0,1,0,1
Audiovisuelle Techniken und Medienproduktion,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SH,abt-total,14,0,14,8,0,8,6,0,6
Audiovisuelle Techniken und Medienproduktion,SH,EFZ,11,0,11,7,0,7,4,0,4
Audiovisuelle Techniken und Medienproduktion,SH,EBA,3,0,3,1,0,1,2,0,2
Audiovisuelle Techniken und Medienproduktion,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,abt-total,8,0,8,1,0,1,7,0,7
Audiovisuelle Techniken und Medienproduktion,AR,EFZ,8,0,8,1,0,1,7,0,7
Audiovisuelle Techniken und Medienproduktion,AR,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,abt-total,1,0,1,0,0,0,1,0,1
Audiovisuelle Techniken und Medienproduktion,AI,EFZ,1,0,1,0,0,0,1,0,1
Audiovisuelle Techniken und Medienproduktion,AI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,SG,abt-total,91,11,80,41,4,37,50,7,43
Audiovisuelle Techniken und Medienproduktion,SG,EFZ,80,11,69,36,4,32,44,7,37
Audiovisuelle Techniken und Medienproduktion,SG,EBA,11,0,11,5,0,5,6,0,6
Audiovisuelle Techniken und Medienproduktion,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,abt-total,27,0,27,12,0,12,15,0,15
Audiovisuelle Techniken und Medienproduktion,GR,EFZ,26,0,26,11,0,11,15,0,15
Audiovisuelle Techniken und Medienproduktion,GR,EBA,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,AG,abt-total,69,0,69,30,0,30,39,0,39
Audiovisuelle Techniken und Medienproduktion,AG,EFZ,67,0,67,29,0,29,38,0,38
Audiovisuelle Techniken und Medienproduktion,AG,EBA,2,0,2,1,0,1,1,0,1
Audiovisuelle Techniken und Medienproduktion,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TG,abt-total,57,0,57,30,0,30,27,0,27
Audiovisuelle Techniken und Medienproduktion,TG,EFZ,55,0,55,30,0,30,25,0,25
Audiovisuelle Techniken und Medienproduktion,TG,EBA,2,0,2,0,0,0,2,0,2
Audiovisuelle Techniken und Medienproduktion,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,abt-total,50,20,30,21,7,14,29,13,16
Audiovisuelle Techniken und Medienproduktion,TI,EFZ,50,20,30,21,7,14,29,13,16
Audiovisuelle Techniken und Medienproduktion,TI,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,abt-total,286,147,139,146,67,79,140,80,60
Audiovisuelle Techniken und Medienproduktion,VD,EFZ,284,147,137,144,67,77,140,80,60
Audiovisuelle Techniken und Medienproduktion,VD,EBA,2,0,2,2,0,2,0,0,0
Audiovisuelle Techniken und Medienproduktion,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,abt-total,82,34,48,41,10,31,41,24,17
Audiovisuelle Techniken und Medienproduktion,VS,EFZ,82,34,48,41,10,31,41,24,17
Audiovisuelle Techniken und Medienproduktion,VS,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,abt-total,52,39,13,29,20,9,23,19,4
Audiovisuelle Techniken und Medienproduktion,NE,EFZ,52,39,13,29,20,9,23,19,4
Audiovisuelle Techniken und Medienproduktion,NE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,abt-total,78,50,28,42,24,18,36,26,10
Audiovisuelle Techniken und Medienproduktion,GE,EFZ,78,50,28,42,24,18,36,26,10
Audiovisuelle Techniken und Medienproduktion,GE,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,abt-total,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,EFZ,1,0,1,1,0,1,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,EBA,0,0,0,0,0,0,0,0,0
Audiovisuelle Techniken und Medienproduktion,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,,abt-total,411,51,360,133,3,130,278,48,230
Design,,EFZ,411,51,360,133,3,130,278,48,230
Design,,EBA,0,0,0,0,0,0,0,0,0
Design,,nReglementiert,0,0,0,0,0,0,0,0,0
Design,ZH,abt-total,53,0,53,15,0,15,38,0,38
Design,ZH,EFZ,53,0,53,15,0,15,38,0,38
Design,ZH,EBA,0,0,0,0,0,0,0,0,0
Design,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Design,BE,abt-total,43,0,43,10,0,10,33,0,33
Design,BE,EFZ,43,0,43,10,0,10,33,0,33
Design,BE,EBA,0,0,0,0,0,0,0,0,0
Design,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Design,LU,abt-total,18,0,18,6,0,6,12,0,12
Design,LU,EFZ,18,0,18,6,0,6,12,0,12
Design,LU,EBA,0,0,0,0,0,0,0,0,0
Design,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Design,UR,abt-total,1,0,1,1,0,1,0,0,0
Design,UR,EFZ,1,0,1,1,0,1,0,0,0
Design,UR,EBA,0,0,0,0,0,0,0,0,0
Design,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Design,SZ,abt-total,6,0,6,2,0,2,4,0,4
Design,SZ,EFZ,6,0,6,2,0,2,4,0,4
Design,SZ,EBA,0,0,0,0,0,0,0,0,0
Design,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Design,OW,abt-total,1,0,1,0,0,0,1,0,1
Design,OW,EFZ,1,0,1,0,0,0,1,0,1
Design,OW,EBA,0,0,0,0,0,0,0,0,0
Design,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,NW,abt-total,6,0,6,0,0,0,6,0,6
Design,NW,EFZ,6,0,6,0,0,0,6,0,6
Design,NW,EBA,0,0,0,0,0,0,0,0,0
Design,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Design,GL,abt-total,0,0,0,0,0,0,0,0,0
Design,GL,EFZ,0,0,0,0,0,0,0,0,0
Design,GL,EBA,0,0,0,0,0,0,0,0,0
Design,GL,nReglementiert,0,0,0,0,0,0,0,0,0
